datetime;JUNG;JUNG1;DRBS;KIEL2
2019-04-19 17:00:00;165.446;389.663;113.087;187.302
2019-04-19 18:00:00;165.457;388.777;113.107;187.593
2019-04-19 19:00:00;165.675;388.421;112.743;186.954
2019-04-19 20:00:00;165.944;389.273;112.477;187.488
2019-04-19 21:00:00;165.508;389.076;112.836;187.212
2019-04-19 22:00:00;166.244;389.346;112.647;188.666
2019-04-19 23:00:00;166.065;390.439;112.596;187.440
2019-04-20 00:00:00;165.347;388.535;112.975;188.157
2019-04-20 01:00:00;166.146;390.599;112.785;188.515
2019-04-20 02:00:00;167.006;391.350;113.618;187.702
2019-04-20 03:00:00;166.358;391.932;113.689;188.840
2019-04-20 04:00:00;166.205;391.928;113.515;188.636
2019-04-20 05:00:00;166.477;391.047;113.727;188.428
2019-04-20 06:00:00;165.695;389.969;113.718;188.506
2019-04-20 07:00:00;165.532;390.472;113.496;188.815
2019-04-20 08:00:00;164.856;390.982;113.065;188.024
2019-04-20 09:00:00;165.518;390.393;112.874;188.180
2019-04-20 10:00:00;165.816;390.483;113.006;188.734
2019-04-20 11:00:00;165.762;390.939;113.587;188.926
2019-04-20 12:00:00;165.693;390.964;113.496;188.917
2019-04-20 13:00:00;166.290;390.054;113.403;188.535
2019-04-20 14:00:00;165.654;388.773;112.721;189.054
2019-04-20 15:00:00;165.859;390.265;113.052;188.144
2019-04-20 16:00:00;165.548;389.152;113.177;187.497
2019-04-20 17:00:00;165.474;389.856;113.676;187.965
2019-04-20 18:00:00;164.492;388.750;113.389;187.832
2019-04-20 19:00:00;165.750;388.638;112.867;187.561
2019-04-20 20:00:00;165.559;389.209;112.406;187.493
2019-04-20 21:00:00;164.785;388.699;113.404;187.642
